cnae_2digitos,cd_cnpj,nu_ordem,cd_ramo_atividade,de_ramo_atividade,ramo_atividade,divisoes
10,97538285000150,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,89158042000240,0,1069400,COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14003993000160,1,1093701,FABRICACAO DE CONSERVAS DE FRUTAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14003993000160,2,1093702,"FABRICACAO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14558582000130,0,1013901,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14610419000170,0,1099604,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,05493714000100,0,1064300,"FABRICACAO DE FARINHA DE MILHO E DERIVADOS, EXCETO OLEOS DE MILHO",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14003993000160,0,1031700,COMERCIO ATACADISTA DE SORVETES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,82059940000110,0,1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,00853547000130,0,1099605,"FABRICACAO DE PRODUTOS PARA INFUSAO CHA, MATE, ETC",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,00619523000200,0,1069400,MOAGEM E FABRICACAO DE PRODUTOS DE ORIGEM VEGETAL NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,08345350000100,0,1091102,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10198311000160,2,1091102,FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,16589978000170,0,1091102,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14619235000170,0,1093701,"COMERCIO VAREJISTA DE ARTIGOS DE CACA, PESCA E CAMPING",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10763196000120,0,1091102,"COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14794696000180,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,16884127000150,0,1091102,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,97530904000160,1,1094500,COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,09068882000100,0,1053800,COMERCIO ATACADISTA DE LEITE E LATICINIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14372027000110,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,97530904000160,0,1091101,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13830813000150,0,1099605,CASAS DE FESTAS E EVENTOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,05558159000140,0,1052000,FABRICACAO DE LATICINIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10198311000160,1,1032501,FABRICACAO DE CONSERVAS DE PALMITO,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13048317000140,0,1094500,FABRICACAO DE MASSAS ALIMENTICIAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15510215000120,0,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10198311000160,0,1031700,FABRICACAO DE CONSERVAS DE FRUTAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14683235000130,0,1033302,COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14534253000150,1,1094500,"FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
